T,Smoothed_Pro
750,3.542904554272213e-06
751,3.5423972840232782e-06
752,3.5418900137743436e-06
753,3.5413827435254085e-06
754,3.540875473276474e-06
755,3.540368203027539e-06
756,3.539860932778604e-06
757,3.5393536625296694e-06
758,3.5388463922807347e-06
759,3.5383391220317996e-06
760,3.537831851782865e-06
761,3.5373245815339303e-06
762,3.5368173112849952e-06
763,3.5363100410360606e-06
764,3.535802770787126e-06
765,3.535295500538191e-06
766,3.534788230289256e-06
767,3.534280960040321e-06
768,3.5337736897913864e-06
769,3.5332664195424517e-06
770,3.5327591492935166e-06
771,3.532251879044582e-06
772,3.5317446087956473e-06
773,3.5312373385467122e-06
774,3.5307300682977775e-06
775,3.530222798048843e-06
776,3.529715527799908e-06
777,3.529208257550973e-06
778,3.5287009873020385e-06
779,3.5281937170531034e-06
780,3.5276864468041687e-06
781,3.527179176555234e-06
782,3.526671906306299e-06
783,3.5261646360573643e-06
784,3.5256573658084296e-06
785,3.5251500955594945e-06
786,3.52464282531056e-06
787,3.5241355550616252e-06
788,3.52362828481269e-06
789,3.5231210145637555e-06
790,3.522613744314821e-06
791,3.5221064740658857e-06
792,3.521599203816951e-06
793,3.5210919335680164e-06
794,3.5205846633190813e-06
795,3.5200773930701466e-06
796,3.519570122821212e-06
797,3.519062852572277e-06
798,3.5185555823233422e-06
799,3.5180483120744076e-06
800,3.5175410418254725e-06
801,3.517033771576538e-06
802,3.516526501327603e-06
803,3.516019231078668e-06
804,3.5155119608297334e-06
805,3.5150046905807987e-06
806,3.5144974203318636e-06
807,3.513990150082929e-06
808,3.513482879833994e-06
809,3.5129756095850592e-06
810,3.5124683393361246e-06
811,3.5119610690871895e-06
812,3.511453798838255e-06
813,3.51094652858932e-06
814,3.510439258340385e-06
815,3.5099319880914504e-06
816,3.5094247178425157e-06
817,3.5089174475935806e-06
818,3.508410177344646e-06
819,3.5079029070957113e-06
820,3.5073956368467762e-06
821,3.5068883665978416e-06
822,3.506381096348907e-06
823,3.505873826099972e-06
824,3.505366555851037e-06
825,3.5048592856021025e-06
826,3.5043520153531674e-06
827,3.5038447451042327e-06
828,3.503337474855298e-06
829,3.502830204606363e-06
830,3.5023229343574283e-06
831,3.5018156641084936e-06
832,3.5013083938595586e-06
833,3.500801123610624e-06
834,3.5002938533616892e-06
835,3.499786583112754e-06
836,3.4992793128638195e-06
837,3.498772042614885e-06
838,3.4982647723659497e-06
839,3.497757502117015e-06
840,3.4972502318680804e-06
841,3.4967429616191453e-06
842,3.4962356913702106e-06
843,3.495728421121276e-06
844,3.495221150872341e-06
845,3.4947138806234062e-06
846,3.494206610374471e-06
847,3.4936993401255365e-06
848,3.493192069876602e-06
849,3.4926847996276667e-06
850,3.492177529378732e-06
851,3.4916702591297974e-06
852,3.4911629888808623e-06
853,3.4906557186319276e-06
854,3.490148448382993e-06
855,3.489641178134058e-06
856,3.4891339078851232e-06
857,3.4886266376361886e-06
858,3.4881193673872535e-06
859,3.487612097138319e-06
860,3.487104826889384e-06
861,3.486597556640449e-06
862,3.4860902863915144e-06
863,3.4855830161425797e-06
864,3.4850757458936446e-06
865,3.48456847564471e-06
866,3.4840612053957753e-06
867,3.4835539351468402e-06
868,3.4830466648979056e-06
869,3.482539394648971e-06
870,3.482032124400036e-06
871,3.481524854151101e-06
872,3.4810175839021665e-06
873,3.4805103136532314e-06
874,3.4800030434042967e-06
875,3.479495773155362e-06
876,3.478988502906427e-06
877,3.4784812326574923e-06
878,3.4779739624085576e-06
879,3.4774666921596226e-06
880,3.476959421910688e-06
881,3.4764521516617532e-06
882,3.475944881412818e-06
883,3.4754376111638835e-06
884,3.474930340914949e-06
885,3.4744230706660137e-06
886,3.473915800417079e-06
887,3.473408530168144e-06
888,3.4729012599192093e-06
889,3.4723939896702746e-06
890,3.4718867194213396e-06
891,3.471379449172405e-06
892,3.4708721789234702e-06
893,3.470364908674535e-06
894,3.4698576384256005e-06
895,3.469350368176666e-06
896,3.4688430979277307e-06
897,3.468335827678796e-06
898,3.4678285574298614e-06
899,3.4673212871809263e-06
900,3.4668140169319916e-06
901,3.466306746683057e-06
902,3.465799476434122e-06
903,3.4652922061851872e-06
904,3.4647849359362526e-06
905,3.4642776656873175e-06
906,3.463770395438383e-06
907,3.463263125189448e-06
908,3.462755854940513e-06
909,3.4622485846915784e-06
910,3.4617413144426437e-06
911,3.4612340441937086e-06
912,3.460726773944774e-06
913,3.4602195036958393e-06
914,3.4597122334469042e-06
915,3.4592049631979696e-06
916,3.458697692949035e-06
917,3.4581904227001e-06
918,3.457683152451165e-06
919,3.4571758822022305e-06
920,3.4566686119532954e-06
921,3.4561613417043607e-06
922,3.455654071455426e-06
923,3.455146801206491e-06
924,3.4546395309575563e-06
925,3.4541322607086216e-06
926,3.4536249904596866e-06
927,3.453117720210752e-06
928,3.452610449961817e-06
929,3.452103179712882e-06
930,3.4515959094639475e-06
931,3.4510886392150124e-06
932,3.4505813689660777e-06
933,3.450074098717143e-06
934,3.449566828468208e-06
935,3.4490595582192733e-06
936,3.4485522879703386e-06
937,3.4480450177214036e-06
938,3.447537747472469e-06
939,3.4470304772235342e-06
940,3.446523206974599e-06
941,3.4460159367256645e-06
942,3.44550866647673e-06
943,3.4450013962277947e-06
944,3.44449412597886e-06
945,3.4439868557299254e-06
946,3.4434795854809903e-06
947,3.4429723152320556e-06
948,3.442465044983121e-06
949,3.441957774734186e-06
950,3.4414505044852512e-06
951,3.4409432342363166e-06
952,3.4404359639873815e-06
953,3.439928693738447e-06
954,3.439421423489512e-06
955,3.438914153240577e-06
956,3.4384068829916424e-06
957,3.4378996127427077e-06
958,3.4373923424937726e-06
959,3.436885072244838e-06
960,3.4363778019959033e-06
961,3.4358705317469682e-06
962,3.4353632614980336e-06
963,3.434855991249099e-06
964,3.434348721000164e-06
965,3.433841450751229e-06
966,3.4333341805022945e-06
967,3.4328269102533594e-06
968,3.4323196400044247e-06
969,3.4318123697554896e-06
970,3.431305099506555e-06
971,3.4307978292576203e-06
972,3.4302905590086852e-06
973,3.4297832887597506e-06
974,3.429276018510816e-06
975,3.428768748261881e-06
976,3.428261478012946e-06
977,3.4277542077640115e-06
978,3.4272469375150764e-06
979,3.4267396672661417e-06
980,3.426232397017207e-06
981,3.425725126768272e-06
982,3.4252178565193373e-06
983,3.4247105862704026e-06
984,3.4242033160214676e-06
985,3.423696045772533e-06
986,3.4231887755235982e-06
987,3.422681505274663e-06
988,3.4221742350257285e-06
989,3.421666964776794e-06
990,3.4211596945278587e-06
991,3.420652424278924e-06
992,3.4201451540299894e-06
993,3.4196378837810543e-06
994,3.4191306135321196e-06
995,3.418623343283185e-06
996,3.41811607303425e-06
997,3.4176088027853152e-06
998,3.4171015325363806e-06
999,3.4165942622874455e-06
1000,3.416086992038511e-06
1001,3.415579721789576e-06
1002,3.415072451540641e-06
1003,3.4145651812917064e-06
1004,3.4140579110427717e-06
1005,3.4135506407938366e-06
1006,3.413043370544902e-06
1007,3.4125361002959673e-06
1008,3.4120288300470322e-06
1009,3.4115215597980976e-06
1010,3.4110142895491625e-06
1011,3.410507019300228e-06
1012,3.409999749051293e-06
1013,3.409492478802358e-06
1014,3.4089852085534234e-06
1015,3.4084779383044887e-06
1016,3.4079706680555536e-06
1017,3.407463397806619e-06
1018,3.4069561275576843e-06
1019,3.4064488573087492e-06
1020,3.4059415870598146e-06
1021,3.40543431681088e-06
1022,3.404927046561945e-06
1023,3.40441977631301e-06
1024,3.4039125060640755e-06
1025,3.4034052358151404e-06
1026,3.4028979655662057e-06
1027,3.402390695317271e-06
1028,3.401883425068336e-06
1029,3.4013761548194013e-06
