T,TTI
948,6.870394642371653e-06
949,6.870394642371653e-06
950,6.870394642371653e-06
951,6.870394642371653e-06
952,6.870394642371653e-06
953,6.870394642371653e-06
954,6.870394642371653e-06
955,6.870394642371653e-06
956,6.870394642371653e-06
957,6.870394642371653e-06
958,6.870394642371653e-06
959,6.870394642371653e-06
960,6.870394642371653e-06
961,6.870394642371653e-06
962,6.870394642371653e-06
963,6.870394642371653e-06
964,6.870394642371653e-06
965,6.870394642371653e-06
966,6.870394642371653e-06
967,6.870394642371653e-06
968,6.870394642371653e-06
969,6.870394642371653e-06
970,6.870394642371653e-06
971,6.870394642371653e-06
972,6.870394642371653e-06
973,6.870394642371653e-06
974,6.870394642371653e-06
975,6.870394642371653e-06
976,6.870394642371653e-06
977,6.870394642371653e-06
978,6.870394642371653e-06
979,6.870394642371653e-06
980,6.989678733132518e-06
981,7.1487241874803384e-06
982,7.1487241874803384e-06
983,7.1487241874803384e-06
984,7.1487241874803384e-06
985,7.1487241874803384e-06
986,7.1487241874803384e-06
987,7.1487241874803384e-06
988,7.1487241874803384e-06
989,7.1487241874803384e-06
990,7.1487241874803384e-06
991,7.1487241874803384e-06
992,7.1487241874803384e-06
993,7.1487241874803384e-06
994,7.1487241874803384e-06
995,7.1487241874803384e-06
996,7.1487241874803384e-06
997,7.1487241874803384e-06
998,7.1487241874803384e-06
999,7.1487241874803384e-06
1000,7.1487241874803384e-06
1001,7.1487241874803384e-06
1002,7.1487241874803384e-06
1003,7.1487241874803384e-06
1004,7.1487241874803384e-06
1005,7.1487241874803384e-06
1006,7.1487241874803384e-06
1007,7.1487241874803384e-06
1008,7.1487241874803384e-06
1009,7.1487241874803384e-06
1010,7.1487241874803384e-06
1011,7.1487241874803384e-06
1012,7.1487241874803384e-06
1013,7.1487241874803384e-06
1014,7.1487241874803384e-06
1015,7.1487241874803384e-06
1016,7.1487241874803384e-06
1017,7.1487241874803384e-06
1018,7.1487241874803384e-06
1019,7.1487241874803384e-06
1020,7.1487241874803384e-06
1021,7.1487241874803384e-06
1022,7.1487241874803384e-06
1023,7.1487241874803384e-06
1024,7.1487241874803384e-06
1025,7.1487241874803384e-06
1026,7.1487241874803384e-06
1027,7.1487241874803384e-06
1028,7.1487241874803384e-06
1029,7.1487241874803384e-06
1030,7.1487241874803384e-06
1031,7.1487241874803384e-06
1032,7.1487241874803384e-06
1033,7.1487241874803384e-06
1034,7.1487241874803384e-06
1035,7.1487241874803384e-06
1036,7.1487241874803384e-06
1037,7.1487241874803384e-06
1038,7.1487241874803384e-06
1039,7.1487241874803384e-06
1040,7.1487241874803384e-06
1041,7.1487241874803384e-06
1042,7.1487241874803384e-06
1043,7.1487241874803384e-06
1044,7.1487241874803384e-06
1045,7.1487241874803384e-06
1046,7.1487241874803384e-06
1047,7.1487241874803384e-06
1048,7.1487241874803384e-06
1049,7.1487241874803384e-06
1050,7.1487241874803384e-06
1051,7.1487241874803384e-06
1052,7.1487241874803384e-06
1053,7.1487241874803384e-06
1054,7.1487241874803384e-06
1055,7.1487241874803384e-06
